Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan Parlimen,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
UMNO,DATUK SERI AZMI KHALID,18322,9264.0,2004,PERLIS,PADANG BESAR,1,MENANG,27380,66.91745799853908,33899,84,11,1,3,0,0,0
PAS,WAN KHARIZAL WAN KHAZIM,9058,0.0,2004,PERLIS,PADANG BESAR,1,KALAH,27380,33.08254200146092,33899,84,11,1,3,0,0,0
UMNO,DATUK RADZI SHEIKH AHMAD,22498,12548.0,2004,PERLIS,KANGAR,2,MENANG,32448,69.33555226824457,40516,79,18,2,1,0,0,0
PAS,ISHAR SAAD,9950,0.0,2004,PERLIS,KANGAR,2,KALAH,32448,30.664447731755423,40516,79,18,2,1,0,0,0
UMNO,DATUK SERI SYED RAZLAN SYED PUTRA JAMALULLAIL,17367,3243.0,2004,PERLIS,ARAU,3,MENANG,31491,55.14909021625226,38067,87,9,2,2,0,0,0
PAS,DATUK DR HARON DIN,14124,0.0,2004,PERLIS,ARAU,3,KALAH,31491,44.85090978374774,38067,87,9,2,2,0,0,0
UMNO,DATUK ABU BAKAR TAIB,16510,10772.0,2004,KEDAH,LANGKAWI,4,MENANG,22248,74.2089176555196,27980,90,7,3,0,0,0,0
PAS,ZUBIR AHMAD,5738,0.0,2004,KEDAH,LANGKAWI,4,KALAH,22248,25.791082344480404,27980,90,7,3,0,0,0,0
UMNO,DATUK ABDUL RAHMAN ARIFFIN,19123,2142.0,2004,KEDAH,JERLUN,5,MENANG,36104,52.96643031243075,44148,90,9,0,1,0,0,0
PAS,IDRIS AHMAD,16981,0.0,2004,KEDAH,JERLUN,5,KALAH,36104,47.03356968756925,44148,90,9,0,1,0,0,0
