Unnamed: 0,state,seat_id,seat_name,is_heavyweight,registered_voters,rejected_votes,official_result,last_published_at,majority,candidate,status,vote,coalition,abbreviation,type,total_votes,voter_turnout%
0,PERLIS,P001,PADANG BESAR,0,60192,0,True,2022-11-19 17:36:23+00:00,12514,RUSYDAN RUSMI,WIN,24267,PERIKATAN NASIONAL,PN,COALITION,45288,75.24
1,PERLIS,P002,KANGAR,0,74859,0,True,2022-11-19 17:39:56+00:00,9192,ZAKRI HASSAN,WIN,24562,PERIKATAN NASIONAL,PN,COALITION,56200,75.07
2,PERLIS,P003,ARAU,1,60876,0,True,2022-11-19 18:28:09+00:00,23216,SHAHIDAN KASSIM,WIN,31458,PERIKATAN NASIONAL,PN,COALITION,46789,76.86
3,KEDAH,P004,LANGKAWI,1,66777,0,True,2022-11-19 15:55:12+00:00,13518,MOHD SUHAIMI ABDULLAH,WIN,25463,PERIKATAN NASIONAL,PN,COALITION,47480,71.1
4,KEDAH,P005,JERLUN,1,67601,0,True,2022-11-19 18:20:31+00:00,20456,ABD GHANI AHMAD,WIN,31685,PERIKATAN NASIONAL,PN,COALITION,52207,77.23
5,KEDAH,P006,KUBANG PASU,0,108217,0,True,2022-11-19 18:18:02+00:00,31584,KU ABD RAHMAN KU ISMAIL,WIN,47584,PERIKATAN NASIONAL,PN,COALITION,83402,77.07
6,KEDAH,P007,PADANG TERAP,0,59806,0,True,2022-11-19 14:59:55+00:00,10959,NURUL AMIN HAMID,WIN,28217,PERIKATAN NASIONAL,PN,COALITION,48629,81.31
7,KEDAH,P008,POKOK SENA,0,114838,0,True,2022-11-19 18:19:44+00:00,31751,AHMAD YAHYA,WIN,52275,PERIKATAN NASIONAL,PN,COALITION,87944,76.58
8,KEDAH,P009,ALOR SETAR,0,105994,0,True,2022-11-19 15:25:10+00:00,9931,AFNAN HAMIMI TAIB AZAMUDDIN,WIN,37486,PERIKATAN NASIONAL,PN,COALITION,76986,72.63
9,KEDAH,P010,KUALA KEDAH,0,132500,0,True,2022-11-19 18:52:59+00:00,28061,AHMAD FAKHRUDDIN FAKHRURAZI,WIN,56298,PERIKATAN NASIONAL,PN,COALITION,100475,75.83
10,KEDAH,P011,PENDANG,0,94547,0,True,2022-11-19 18:49:04+00:00,31289,AWANG SOLAHUDIN,WIN,49008,PERIKATAN NASIONAL,PN,COALITION,75594,79.95
11,KEDAH,P012,JERAI,0,105001,0,True,2022-11-19 18:18:26+00:00,33192,SABRI AZIT,WIN,49461,PERIKATAN NASIONAL,PN,COALITION,82293,78.37
12,KEDAH,P013,SIK,0,63126,0,True,2022-11-19 15:50:17+00:00,21787,AHMAD TARMIZI SULAIMAN,WIN,34606,PERIKATAN NASIONAL,PN,COALITION,51161,81.05
