Unnamed: 0,No Parlimen,Kawasan Parlimen,Negeri,Yang Berhormat,Gabungan,Parti,Jawatan,ADUN
0,P001,PADANG BESAR,PERLIS,TUAN RUSHDAN RUSMI,PN,PAS,,
1,P002,KANGAR,PERLIS,TUAN ZAKRI HASSAN,PN,BERSATU,,
2,P003,ARAU,PERLIS,DATO' SERI DR. SHAHIDAN KASSIM,PN,PAS,,
3,P004,LANGKAWI,KEDAH,DATO' MOHD SUHAIMI ABDULLAH,PN,BERSATU,,
4,P005,JERLUN,KEDAH,DR. ABDUL GHANI AHMAD,PN,PAS,,
5,P006,KUBANG PASU,KEDAH,DATO' WIRA DR. KU ABDUL RAHMAN KU ISMAIL,PN,BERSATU,,"GUAR CHEMPEDAK (KEDAH)
EXCO KERAJAAN NEGERI KEDAH"
6,P007,PADANG TERAP,KEDAH,USTAZ NURUL AMIN HAMID,PN,PAS,,
7,P008,POKOK SENA,KEDAH,DATO' AHMAD YAHAYA,PN,PAS,,
8,P009,ALOR SETAR,KEDAH,USTAZ AFNAN HAMIMI TAIB AZAMUDDEN,PN,PAS,,
9,P010,KUALA KEDAH,KEDAH,,PN,PAS,,
10,P011,PENDANG,KEDAH,DATUK HAJI AWANG HASHIM,PN,PAS,,
11,P012,JERAI,KEDAH,USTAZ SABRI AZIT,PN,PAS,,
12,P013,SIK,KEDAH,TUAN AHMAD TARMIZI SULAIMAN,PN,PAS,,
13,P014,MERBOK,KEDAH,TUAN MOHD NAZRI ABU HASSAN,PN,BERSATU,,
14,P015,SUNGAI PETANI,KEDAH,DR. TAUFIQ JOHARI,PH,PKR,,
15,P016,BALING,KEDAH,USTAZ HASSAN SAAD,PN,PAS,,
16,P017,PADANG SERAI,KEDAH,DATO' AZMAN NASRUDIN,PN,BERSATU,,"LUNAS (KEDAH)
EXCO KERAJAAN NEGERI KEDAH"
17,P018,KULIM-BANDAR BAHARU,KEDAH,DATO' ROSLAN HASHIM,PN,BERSATU,,
18,P019,TUMPAT,KELANTAN,DATUK MUMTAZ MD NAWI,PN,PAS,,"DEMIT (KELANTAN)
EXCO KERAJAAN NEGERI KELANTAN"
19,P020,PENGKALAN CHEPA,KELANTAN,DATUK AHMAD MARZUK SHAARY,PN,PAS,,
20,P021,KOTA BHARU,KELANTAN,DATUK SERI TAKIYUDDIN HASSAN,PN,PAS,,
21,P022,PASIR MAS,KELANTAN,USTAZ AHMAD FADHLI SHAARI,PN,PAS,,
22,P023,RANTAU PANJANG,KELANTAN,USTAZAH DATO' SITI ZAILAH MOHD YUSOFF @ KAK LAH,PN,PAS,,
23,P024,KUBANG KERIAN,KELANTAN,USTAZ DATO' TUAN IBRAHIM TUAN MAN,PN,PAS,KETUA PEMBANGKANG DEWAN NEGERI PAHANG,CHEKA (PAHANG)
24,P025,BACHOK,KELANTAN,TUAN SYAHIR CHE SULAIMAN,PN,PAS,,
25,P026,KETEREH,KELANTAN,MEJ JEN DATO HJ KHLIR MOHD NOR,PN,BERSATU,,
26,P027,TANAH MERAH,KELANTAN,DATO' SRI IKMAL HISHAM ABDUL AZIZ,PN,BERSATU,,
27,P028,PASIR PUTEH,KELANTAN,USTAZ DATUK NIK MUHAMMAD ZAWAWI SALLEH,PN,PAS,,
28,P029,MACHANG,KELANTAN,TUAN WAN AHMAD FAYHSAL WAN AHMAD KAMAL,PN,BERSATU,,
29,P030,JELI,KELANTAN,TUAN ZAHARI KECHIK,PN,BERSATU,,
30,P031,KUALA KRAI,KELANTAN,USTAZ ABDUL LATIFF ABDUL RAHMAN,PN,PAS,,
31,P032,GUA MUSANG,KELANTAN,TUAN MOHD AZIZI ABU NAIM,PN,BERSATU,,
32,P033,BESUT,TERENGGANU,DATUK CHE MOHAMAD ZULKIFLY JUSOH,PN,PAS,,
33,P034,SETIU,TERENGGANU,USTAZ SHAHARIZUKIRNAIN ABD KADIR,PN,PAS,,
34,P035,KUALA NERUS,TERENGGANU,DATO' DR. HAJI ALIAS RAZAK,PN,PAS,,"BUKIT TUNGGAL (TERENGGANU)
EXCO KERAJAAN NEGERI TERENGGANU"
35,P036,KUALA TERENGGANU,TERENGGANU,DATUK HAJI AHMAD AMZAD HASHIM,PN,PAS,,
36,P037,MARANG,TERENGGANU,TAN SRI DATO' SERI TUAN GURU HAJI ABDUL HADI AWANG,PN,PAS,,
37,P038,HULU TERENGGANU,TERENGGANU,DATO ROSOL WAHID,PN,BERSATU,,
38,P039,DUNGUN,TERENGGANU,USTAZ WAN HASSAN MOHD RAMLI,PN,PAS,,
39,P040,KEMAMAN,TERENGGANU,USTAZ CHE ALIAS HAMID,PN,PAS,,
40,P041,KEPALA BATAS,PULAU PINANG,DR. SITI MASTURA MUHAMMAD,PN,PAS,,
41,P042,TASEK GELUGOR,PULAU PINANG,DATUK WAN SAIFUL WAN JAN,PN,BERSATU,,
42,P043,BAGAN,PULAU PINANG,TUAN LIM GUAN ENG,PH,DAP,,
43,P044,PERMATAG PAUH,PULAU PINANG,USTAZ MUHAMMAD FAWWAZ MOHAMAD JAN,PN,PAS,,
